i,smspec
0,11546598.000000
1,11307064.000000
2,11229497.000000
3,11087609.000000
4,10957106.000000
5,11036765.000000
6,10992628.000000
7,11030304.000000
8,11174465.000000
9,11294197.000000
10,11396628.000000
11,11211022.000000
12,11568508.000000
13,12115679.000000
14,12074160.000000
15,12194386.000000
16,12295204.000000
17,12519508.000000
18,12898050.000000
19,12451114.000000
20,11879270.000000
21,12159502.000000
22,12155972.000000
23,12023776.000000
24,12094070.000000
25,12653814.000000
26,13120825.000000
27,13139490.000000
28,12931408.000000
29,13199977.000000
30,13180418.000000
31,12728332.000000
32,11726032.000000
33,11221328.000000
34,11323365.000000
35,11667730.000000
36,11721086.000000
37,11755770.000000
38,11994540.000000
39,12660886.000000
40,12777546.000000
41,12604630.000000
42,12247116.000000
43,11949047.000000
44,11811108.000000
45,11722978.000000
46,11588802.000000
47,11565672.000000
48,11483620.000000
49,11306594.000000
50,11170318.000000
51,11222689.000000
52,11060589.000000
53,10651604.000000
54,10657482.000000
55,10787314.000000
56,10962944.000000
57,11001176.000000
58,11305928.000000
59,11472637.000000
60,11339736.000000
61,11284326.000000
62,11437368.000000
63,11741360.000000
64,12386219.000000
65,12487587.000000
66,12608857.000000
67,13116532.000000
68,13500720.000000
69,13604596.000000
70,13571372.000000
71,13038970.000000
72,12920351.000000
73,13308880.000000
74,13539154.000000
75,13418491.000000
76,13086027.000000
77,12866094.000000
78,12478168.000000
79,12364196.000000
80,11797382.000000
81,11380822.000000
82,11299844.000000
83,11399922.000000
84,11340749.000000
85,11815015.000000
86,12080670.000000
87,12279582.000000
88,12298869.000000
89,12164816.000000
90,12006422.000000
91,12317266.000000
92,12339416.000000
93,12077404.000000
94,11867880.000000
95,11843904.000000
96,12148170.000000
97,12535726.000000
98,12741634.000000
99,12500382.000000
100,12527167.000000
101,12688116.000000
102,12422766.000000
103,12042096.000000
104,11877423.000000
105,11610235.000000
106,11787717.000000
107,11752092.000000
108,11655665.000000
109,11798168.000000
110,11740592.000000
111,11508198.000000
112,11418288.000000
113,11482179.000000
114,11150254.000000
115,10888606.000000
116,10833315.000000
117,10839228.000000
118,10970884.000000
119,10889487.000000
120,10842710.000000
121,11257604.000000
122,11242792.000000
123,11093528.000000
124,11088870.000000
125,11227374.000000
126,11092808.000000
127,10628804.000000
128,10424906.000000
129,10687104.000000
130,11031476.000000
131,13567100.000000
132,17535948.000000
133,19714486.000000
134,20773040.000000
135,21123798.000000
136,21595440.000000
137,22370626.000000
138,20802100.000000
139,17733006.000000
140,16190777.000000
141,15749817.000000
142,15961814.000000
143,15790339.000000
144,14997513.000000
145,13937454.000000
146,12367976.000000
147,11137660.000000
148,10282984.000000
149,9608796.000000
150,14247600.000000
151,19041258.000000
152,21657900.000000
153,24223860.000000
154,27116584.000000
155,30466196.000000
156,33384044.000000
157,30450156.000000
158,27343516.000000
159,25479468.000000
160,23752546.000000
161,21751100.000000
162,18792686.000000
163,16201948.000000
164,14576789.000000
165,12942680.000000
166,12661654.000000
167,12432189.000000
168,12237600.000000
169,12334733.000000
170,12038110.000000
171,11678063.000000
172,11760692.000000
173,11689954.000000
174,11945672.000000
175,12266196.000000
176,12514691.000000
177,12644644.000000
178,12586900.000000
179,12554707.000000
180,12782212.000000
181,12772641.000000
182,12838252.000000
183,13227022.000000
184,14120178.000000
185,14801248.000000
186,15404630.000000
187,15890124.000000
188,16711186.000000
189,17672092.000000
190,18252694.000000
191,18047416.000000
192,17761918.000000
193,17237798.000000
194,16866978.000000
195,16351342.000000
196,16013365.000000
197,25180846.000000
198,38210636.000000
199,47891428.000000
200,61172812.000000
201,81502304.000000
202,127529104.000000
203,396004992.000000
204,549040960.000000
205,605898880.000000
206,680766208.000000
207,741535872.000000
208,786941824.000000
209,780841344.000000
210,526430752.000000
211,368736064.000000
212,300576096.000000
213,216812064.000000
214,143535136.000000
215,77884784.000000
216,37964132.000000
217,22974116.000000
218,17744508.000000
219,15436654.000000
220,14472407.000000
221,13385983.000000
222,12568406.000000
223,11572190.000000
224,11110170.000000
225,10103724.000000
226,9301871.000000
227,8424882.000000
228,7889152.000000
229,8024342.000000
230,9173346.000000
231,10369180.000000
232,10860053.000000
233,11694520.000000
234,12908972.000000
235,14052558.000000
236,14442580.000000
237,14253501.000000
238,13667911.000000
239,14133470.000000
240,14432776.000000
241,13911202.000000
242,13330726.000000
243,12834832.000000
244,11982651.000000
245,11739961.000000
246,11290875.000000
247,10868165.000000
248,10905495.000000
249,11241267.000000
250,11855620.000000
251,12131066.000000
252,12223604.000000
253,12381813.000000
254,12305505.000000
255,12233506.000000
256,11900899.000000
257,11792705.000000
258,12170014.000000
259,12117743.000000
260,12102638.000000
261,12261538.000000
262,12331336.000000
263,12210440.000000
264,11900406.000000
265,11548712.000000
266,11571850.000000
267,11399540.000000
268,11136774.000000
269,11093920.000000
270,11293193.000000
271,11252605.000000
272,10970998.000000
273,10699704.000000
274,10542271.000000
275,10967682.000000
276,11014138.000000
277,10789206.000000
278,10899569.000000
279,11081654.000000
280,11388724.000000
281,11775434.000000
282,11212644.000000
283,10879846.000000
284,10912265.000000
285,10620424.000000
286,10348765.000000
287,10156501.000000
288,10051256.000000
289,10285734.000000
290,10608056.000000
291,10920904.000000
292,11267085.000000
293,11422553.000000
294,11332590.000000
295,11033214.000000
296,11006708.000000
297,10889087.000000
298,10760160.000000
299,10924828.000000
300,11175476.000000
301,11278499.000000
302,11446535.000000
303,11462973.000000
304,11802078.000000
305,12082440.000000
306,11822978.000000
307,11950749.000000
308,12303680.000000
309,12362204.000000
310,12271678.000000
311,11967672.000000
312,11799534.000000
313,11643850.000000
314,11277499.000000
315,11449478.000000
316,11549504.000000
317,11399880.000000
318,11113855.000000
319,10709606.000000
320,10381797.000000
321,10186628.000000
322,9447198.000000
323,9163049.000000
324,9302592.000000
325,9772570.000000
326,10387570.000000
327,10925986.000000
328,11200076.000000
329,11358660.000000
330,11606900.000000
331,11333609.000000
332,10627933.000000
333,10113656.000000
334,10218466.000000
335,10293694.000000
336,10482848.000000
337,10464832.000000
338,11030402.000000
339,11521482.000000
340,11385012.000000
341,11155244.000000
342,11039074.000000
343,10797704.000000
344,10644596.000000
345,10306662.000000
346,10183542.000000
347,10367266.000000
348,10575918.000000
349,10693733.000000
350,10866602.000000
351,10947572.000000
352,10849574.000000
353,10990857.000000
354,11178054.000000
355,10947345.000000
356,10766884.000000
357,10706180.000000
358,10554651.000000
359,10924744.000000
360,10720661.000000
361,10707143.000000
362,10646883.000000
363,10630243.000000
364,10741070.000000
365,11075888.000000
366,11057722.000000
367,11053130.000000
368,10830822.000000
369,11036228.000000
370,11222724.000000
371,11253824.000000
372,11352228.000000
373,11248015.000000
374,11451044.000000
375,11632885.000000
376,11480424.000000
377,11627964.000000
378,11652599.000000
379,11406158.000000
380,11367196.000000
381,11397212.000000
382,11308188.000000
383,11421778.000000
384,11199114.000000
385,11200576.000000
386,11031610.000000
387,10868666.000000
388,10606944.000000
389,10722543.000000
390,10827126.000000
391,10794474.000000
392,10501582.000000
393,10706501.000000
394,10971768.000000
395,11073806.000000
396,11068573.000000
397,10773792.000000
398,10805102.000000
399,11041451.000000
400,10673317.000000
401,10436620.000000
402,10831036.000000
403,11058616.000000
404,11197795.000000
405,11179673.000000
406,11066310.000000
407,11156946.000000
408,10999382.000000
409,10546606.000000
410,10134932.000000
